prenom,nom,lien,id_club
Dan,Ndoye,https://www.transfermarkt.fr/dan-ndoye/profil/spieler/365108,8
Dilane,Bakwa,https://www.transfermarkt.fr/dilane-bakwa/profil/spieler/540664,8
Arnaud,Kalimuendo,https://www.transfermarkt.fr/arnaud-kalimuendo/profil/spieler/585959,8
Igor,Jesus,https://www.transfermarkt.fr/igor-jesus/profil/spieler/432164,8
Taiwo,Awoniyi,https://www.transfermarkt.fr/taiwo-awoniyi/profil/spieler/295313,8
Chris,Wood,https://www.transfermarkt.fr/chris-wood/profil/spieler/108725,8
Emiliano,Martínez,https://www.transfermarkt.fr/emiliano-martinez/profil/spieler/111873,9
Marco,Bizot,https://www.transfermarkt.fr/marco-bizot/profil/spieler/124884,9
Ezri,Konsa,https://www.transfermarkt.fr/ezri-konsa/profil/spieler/413403,9
Pau,Torres,https://www.transfermarkt.fr/pau-torres/profil/spieler/399776,9
Victor,Lindelöf,https://www.transfermarkt.fr/victor-lindelof/profil/spieler/184573,9
Tyrone,Mings,https://www.transfermarkt.fr/tyrone-mings/profil/spieler/253677,9
Ian,Maatsen,https://www.transfermarkt.fr/ian-maatsen/profil/spieler/485585,9
Lucas,Digne,https://www.transfermarkt.fr/lucas-digne/profil/spieler/126664,9
Matty,Cash,https://www.transfermarkt.fr/matty-cash/profil/spieler/425334,9
Andrés,García,https://www.transfermarkt.fr/andres-garcia/profil/spieler/1063329,9
Amadou,Onana,https://www.transfermarkt.fr/amadou-onana/profil/spieler/485706,9
Boubacar,Kamara,https://www.transfermarkt.fr/boubacar-kamara/profil/spieler/394327,9
Lamare,Bogarde,https://www.transfermarkt.fr/lamare-bogarde/profil/spieler/645686,9
Youri,Tielemans,https://www.transfermarkt.fr/youri-tielemans/profil/spieler/249565,9
John,McGinn,https://www.transfermarkt.fr/john-mcginn/profil/spieler/193116,9
Ross,Barkley,https://www.transfermarkt.fr/ross-barkley/profil/spieler/131978,9
Morgan,Rogers,https://www.transfermarkt.fr/morgan-rogers/profil/spieler/503743,9
Harvey,Elliott,https://www.transfermarkt.fr/harvey-elliott/profil/spieler/565822,9
Emiliano,Buendía,https://www.transfermarkt.fr/emiliano-buendia/profil/spieler/321247,9
Jadon,Sancho,https://www.transfermarkt.fr/jadon-sancho/profil/spieler/401173,9
Evann,Guessand,https://www.transfermarkt.fr/evann-guessand/profil/spieler/500689,9
Donyell,Malen,https://www.transfermarkt.fr/donyell-malen/profil/spieler/326029,9
Ollie,Watkins,https://www.transfermarkt.fr/ollie-watkins/profil/spieler/324358,9
Bart,Verbruggen,https://www.transfermarkt.fr/bart-verbruggen/profil/spieler/565093,10
Jason,Steele,https://www.transfermarkt.fr/jason-steele/profil/spieler/73564,10
Tom,McGill,https://www.transfermarkt.fr/tom-mcgill/profil/spieler/406556,10
Jan,Paul van Hecke,https://www.transfermarkt.fr/jan-paul-van-hecke/profil/spieler/576314,10
Olivier,Boscagli,https://www.transfermarkt.fr/olivier-boscagli/profil/spieler/318508,10
Diego,Coppola,https://www.transfermarkt.fr/diego-coppola/profil/spieler/660860,10
Adam,Webster,https://www.transfermarkt.fr/adam-webster/profil/spieler/212847,10
Lewis,Dunk,https://www.transfermarkt.fr/lewis-dunk/profil/spieler/148153,10
Ferdi,Kadıoğlu,https://www.transfermarkt.fr/ferdi-kadioglu/profil/spieler/369316,10
Maxim,De Cuyper,https://www.transfermarkt.fr/maxim-de-cuyper/profil/spieler/429915,10
Joël,Veltman,https://www.transfermarkt.fr/joel-veltman/profil/spieler/111195,10
Carlos,Baleba,https://www.transfermarkt.fr/carlos-baleba/profil/spieler/973085,10
Mats,Wieffer,https://www.transfermarkt.fr/mats-wieffer/profil/spieler/415381,10
Jack,Hinshelwood,https://www.transfermarkt.fr/jack-hinshelwood/profil/spieler/867688,10
Yasin,Ayari,https://www.transfermarkt.fr/yasin-ayari/profil/spieler/667287,10
Diego,Gómez,https://www.transfermarkt.fr/diego-gomez/profil/spieler/996897,10
James,Milner,https://www.transfermarkt.fr/james-milner/profil/spieler/3333,10
Kaoru,Mitoma,https://www.transfermarkt.fr/kaoru-mitoma/profil/spieler/504849,10
Tom,Watson,https://www.transfermarkt.fr/tom-watson/profil/spieler/933018,10
Yankuba,Minteh,https://www.transfermarkt.fr/yankuba-minteh/profil/spieler/1012534,10
Brajan,Gruda,https://www.transfermarkt.fr/brajan-gruda/profil/spieler/700106,10
Solly,March,https://www.transfermarkt.fr/solly-march/profil/spieler/209212,10
Georginio,Rutter,https://www.transfermarkt.fr/georginio-rutter/profil/spieler/538977,10
Charalampos,Kostoulas,https://www.transfermarkt.fr/charalampos-kostoulas/profil/spieler/1060087,10
Stefanos,Tzimas,https://www.transfermarkt.fr/stefanos-tzimas/profil/spieler/950091,10
Danny,Welbeck,https://www.transfermarkt.fr/danny-welbeck/profil/spieler/67063,10
Dean,Henderson,https://www.transfermarkt.fr/dean-henderson/profil/spieler/258919,11
Walter,Benítez,https://www.transfermarkt.fr/walter-benitez/profil/spieler/296802,11
Remi,Matthews,https://www.transfermarkt.fr/remi-matthews/profil/spieler/196722,11
Marc,Guéhi,https://www.transfermarkt.fr/marc-guehi/profil/spieler/392757,11
Maxence,Lacroix,https://www.transfermarkt.fr/maxence-lacroix/profil/spieler/434224,11
Chris,Richards,https://www.transfermarkt.fr/chris-richards/profil/spieler/578539,11
Jaydee,Canvot,https://www.transfermarkt.fr/jaydee-canvot/profil/spieler/1006411,11
Chadi,Riad,https://www.transfermarkt.fr/chadi-riad/profil/spieler/689637,11
Tyrick,Mitchell,https://www.transfermarkt.fr/tyrick-mitchell/profil/spieler/730893,11
Borna,Sosa,https://www.transfermarkt.fr/borna-sosa/profil/spieler/293194,11
Rio,Cardines,https://www.transfermarkt.fr/rio-cardines/profil/spieler/1047257,11
Daniel,Muñoz,https://www.transfermarkt.fr/daniel-munoz/profil/spieler/493003,11
Caleb,Kporha,https://www.transfermarkt.fr/caleb-kporha/profil/spieler/1047261,11
Nathaniel,Clyne,https://www.transfermarkt.fr/nathaniel-clyne/profil/spieler/85177,11
Adam,Wharton,https://www.transfermarkt.fr/adam-wharton/profil/spieler/744149,11
Cheick,Doucouré,https://www.transfermarkt.fr/cheick-doucoure/profil/spieler/543387,11
Jefferson,Lerma,https://www.transfermarkt.fr/jefferson-lerma/profil/spieler/262980,11
Kaden,Rodney,https://www.transfermarkt.fr/kaden-rodney/profil/spieler/860078,11
Will,Hughes,https://www.transfermarkt.fr/will-hughes/profil/spieler/207014,11
Naouirou,Ahamada,https://www.transfermarkt.fr/naouirou-ahamada/profil/spieler/538971,11
Daichi,Kamada,https://www.transfermarkt.fr/daichi-kamada/profil/spieler/356141,11
Justin,Devenny,https://www.transfermarkt.fr/justin-devenny/profil/spieler/747009,11
